S 34fd40,4 miss eviction 
S 34fd44,4 hit 
S 34fd48,4 hit 
S 34fd4c,4 hit 
L 34fa50,4 hit 
L 34fa54,4 hit 
L 34fa58,4 hit 
L 34fa5c,4 hit 
L 30f564,4 hit 
L 30f664,4 hit 
L 30f764,4 hit 
L 30f864,4 hit 
S 34fa50,4 hit 
S 34fa54,4 hit 
S 34fa58,4 hit 
S 34fa5c,4 hit 
S 34fe40,4 miss eviction 
S 34fe44,4 hit 
S 34fe48,4 hit 
S 34fe4c,4 hit 
L 34fb50,4 hit 
L 34fb54,4 hit 
L 34fb58,4 hit 
L 34fb5c,4 hit 
L 30f568,4 hit 
L 30f668,4 hit 
L 30f768,4 hit 
L 30f868,4 hit 
S 34fb50,4 hit 
S 34fb54,4 hit 
S 34fb58,4 hit 
S 34fb5c,4 hit 
S 34ff40,4 miss eviction 
S 34ff44,4 hit 
S 34ff48,4 hit 
S 34ff4c,4 hit 
L 34fc50,4 hit 
L 34fc54,4 hit 
L 34fc58,4 hit 
L 34fc5c,4 hit 
L 30f56c,4 hit 
L 30f66c,4 hit 
L 30f76c,4 hit 
L 30f86c,4 hit 
S 34fc50,4 hit 
S 34fc54,4 hit 
S 34fc58,4 hit 
S 34fc5c,4 hit 
S 350040,4 miss eviction 
S 350044,4 hit 
S 350048,4 hit 
S 35004c,4 hit 
L 30f570,4 hit 
L 30f670,4 hit 
L 30f770,4 hit 
L 30f870,4 hit 
S 34fd50,4 hit 
S 34fd54,4 hit 
S 34fd58,4 hit 
S 34fd5c,4 hit 
L 30f574,4 hit 
L 30f674,4 hit 
L 30f774,4 hit 
L 30f874,4 hit 
S 34fe50,4 hit 
S 34fe54,4 hit 
S 34fe58,4 hit 
S 34fe5c,4 hit 
L 30f578,4 hit 
L 30f678,4 hit 
L 30f778,4 hit 
L 30f878,4 hit 
S 34ff50,4 hit 
S 34ff54,4 hit 
S 34ff58,4 hit 
S 34ff5c,4 hit 
L 30f57c,4 hit 
L 30f67c,4 hit 
L 30f77c,4 hit 
L 30f87c,4 hit 
S 350050,4 hit 
S 350054,4 hit 
S 350058,4 hit 
S 35005c,4 hit 
L 30f180,4 miss 
L 30f184,4 hit 
L 30f188,4 hit 
L 30f18c,4 hit 
L 30f190,4 hit 
L 30f194,4 hit 
L 30f198,4 hit 
L 30f19c,4 hit 
S 350140,4 miss eviction 
S 350240,4 miss eviction 
S 350340,4 miss eviction 
S 350440,4 miss eviction 
S 350150,4 hit 
S 350250,4 hit 
S 350350,4 hit 
S 350450,4 hit 
L 30f280,4 miss 
L 30f284,4 hit 
L 30f288,4 hit 
L 30f28c,4 hit 
L 30f290,4 hit 
L 30f294,4 hit 
L 30f298,4 hit 
L 30f29c,4 hit 
S 350144,4 hit 
S 350244,4 hit 
S 350344,4 hit 
S 350444,4 hit 
S 350154,4 hit 
S 350254,4 hit 
S 350354,4 hit 
S 350454,4 hit 
L 30f380,4 miss 
L 30f384,4 hit 
L 30f388,4 hit 
L 30f38c,4 hit 
L 30f390,4 hit 
L 30f394,4 hit 
L 30f398,4 hit 
L 30f39c,4 hit 
S 350148,4 hit 
S 350248,4 hit 
S 350348,4 hit 
S 350448,4 hit 
S 350158,4 hit 
S 350258,4 hit 
S 350358,4 hit 
S 350458,4 hit 
L 30f480,4 miss 
L 30f484,4 hit 
L 30f488,4 hit 
L 30f48c,4 hit 
L 30f490,4 hit 
L 30f494,4 hit 
L 30f498,4 hit 
L 30f49c,4 hit 
S 35014c,4 hit 
S 35024c,4 hit 
S 35034c,4 hit 
S 35044c,4 hit 
S 35015c,4 hit 
S 35025c,4 hit 
S 35035c,4 hit 
S 35045c,4 hit 
L 350150,4 hit 
L 350154,4 hit 
L 350158,4 hit 
L 35015c,4 hit 
L 30f580,4 miss eviction 
L 30f680,4 miss eviction 
L 30f780,4 miss eviction 
L 30f880,4 miss eviction 
S 350150,4 hit 
S 350154,4 hit 
S 350158,4 hit 
S 35015c,4 hit 
S 350540,4 miss eviction 
S 350544,4 hit 
S 350548,4 hit 
S 35054c,4 hit 
L 350250,4 hit 
L 350254,4 hit 
L 350258,4 hit 
L 35025c,4 hit 
L 30f584,4 hit 
L 30f684,4 hit 
L 30f784,4 hit 
L 30f884,4 hit 
S 350250,4 hit 
S 350254,4 hit 
S 350258,4 hit 
S 35025c,4 hit 
S 350640,4 miss eviction 
S 350644,4 hit 
S 350648,4 hit 
S 35064c,4 hit 
L 350350,4 hit 
L 350354,4 hit 
L 350358,4 hit 
L 35035c,4 hit 
L 30f588,4 hit 
L 30f688,4 hit 
L 30f788,4 hit 
L 30f888,4 hit 
S 350350,4 hit 
S 350354,4 hit 
S 350358,4 hit 
S 35035c,4 hit 
S 350740,4 miss eviction 
S 350744,4 hit 
S 350748,4 hit 
S 35074c,4 hit 
L 350450,4 hit 
L 350454,4 hit 
L 350458,4 hit 
L 35045c,4 hit 
L 30f58c,4 hit 
L 30f68c,4 hit 
L 30f78c,4 hit 
L 30f88c,4 hit 
S 350450,4 hit 
S 350454,4 hit 
S 350458,4 hit 
S 35045c,4 hit 
S 350840,4 miss eviction 
S 350844,4 hit 
S 350848,4 hit 
S 35084c,4 hit 
L 30f590,4 hit 
L 30f690,4 hit 
L 30f790,4 hit 
L 30f890,4 hit 
S 350550,4 hit 
S 350554,4 hit 
S 350558,4 hit 
S 35055c,4 hit 
L 30f594,4 hit 
L 30f694,4 hit 
L 30f794,4 hit 
L 30f894,4 hit 
S 350650,4 hit 
S 350654,4 hit 
S 350658,4 hit 
S 35065c,4 hit 
L 30f598,4 hit 
L 30f698,4 hit 
L 30f798,4 hit 
L 30f898,4 hit 
S 350750,4 hit 
S 350754,4 hit 
S 350758,4 hit 
S 35075c,4 hit 
L 30f59c,4 hit 
L 30f69c,4 hit 
L 30f79c,4 hit 
L 30f89c,4 hit 
S 350850,4 hit 
S 350854,4 hit 
S 350858,4 hit 
S 35085c,4 hit 
L 30f1a0,4 miss 
L 30f1a4,4 hit 
L 30f1a8,4 hit 
L 30f1ac,4 hit 
L 30f1b0,4 hit 
L 30f1b4,4 hit 
L 30f1b8,4 hit 
L 30f1bc,4 hit 
S 350940,4 miss eviction 
S 350a40,4 miss eviction 
S 350b40,4 miss eviction 
S 350c40,4 miss eviction 
S 350950,4 hit 
S 350a50,4 hit 
S 350b50,4 hit 
S 350c50,4 hit 
L 30f2a0,4 miss 
L 30f2a4,4 hit 
L 30f2a8,4 hit 
L 30f2ac,4 hit 
L 30f2b0,4 hit 
L 30f2b4,4 hit 
L 30f2b8,4 hit 
L 30f2bc,4 hit 
S 350944,4 hit 
S 350a44,4 hit 
S 350b44,4 hit 
S 350c44,4 hit 
S 350954,4 hit 
S 350a54,4 hit 
S 350b54,4 hit 
S 350c54,4 hit 
L 30f3a0,4 miss 
L 30f3a4,4 hit 
L 30f3a8,4 hit 
L 30f3ac,4 hit 
L 30f3b0,4 hit 
L 30f3b4,4 hit 
L 30f3b8,4 hit 
L 30f3bc,4 hit 
S 350948,4 hit 
S 350a48,4 hit 
S 350b48,4 hit 
S 350c48,4 hit 
S 350958,4 hit 
S 350a58,4 hit 
S 350b58,4 hit 
S 350c58,4 hit 
L 30f4a0,4 miss 
L 30f4a4,4 hit 
L 30f4a8,4 hit 
L 30f4ac,4 hit 
L 30f4b0,4 hit 
L 30f4b4,4 hit 
L 30f4b8,4 hit 
L 30f4bc,4 hit 
S 35094c,4 hit 
S 350a4c,4 hit 
S 350b4c,4 hit 
S 350c4c,4 hit 
S 35095c,4 hit 
S 350a5c,4 hit 
S 350b5c,4 hit 
S 350c5c,4 hit 
L 350950,4 hit 
L 350954,4 hit 
L 350958,4 hit 
L 35095c,4 hit 
L 30f5a0,4 miss eviction 
L 30f6a0,4 miss eviction 
L 30f7a0,4 miss eviction 
L 30f8a0,4 miss eviction 
S 350950,4 hit 
S 350954,4 hit 
S 350958,4 hit 
S 35095c,4 hit 
S 350d40,4 miss eviction 
S 350d44,4 hit 
S 350d48,4 hit 
S 350d4c,4 hit 
L 350a50,4 hit 
L 350a54,4 hit 
L 350a58,4 hit 
L 350a5c,4 hit 
L 30f5a4,4 hit 
L 30f6a4,4 hit 
L 30f7a4,4 hit 
L 30f8a4,4 hit 
S 350a50,4 hit 
S 350a54,4 hit 
S 350a58,4 hit 
S 350a5c,4 hit 
S 350e40,4 miss eviction 
S 350e44,4 hit 
S 350e48,4 hit 
S 350e4c,4 hit 
L 350b50,4 hit 
L 350b54,4 hit 
L 350b58,4 hit 
L 350b5c,4 hit 
L 30f5a8,4 hit 
L 30f6a8,4 hit 
L 30f7a8,4 hit 
L 30f8a8,4 hit 
S 350b50,4 hit 
S 350b54,4 hit 
S 350b58,4 hit 
S 350b5c,4 hit 
S 350f40,4 miss eviction 
S 350f44,4 hit 
S 350f48,4 hit 
S 350f4c,4 hit 
L 350c50,4 hit 
L 350c54,4 hit 
L 350c58,4 hit 
L 350c5c,4 hit 
L 30f5ac,4 hit 
L 30f6ac,4 hit 
L 30f7ac,4 hit 
L 30f8ac,4 hit 
S 350c50,4 hit 
S 350c54,4 hit 
S 350c58,4 hit 
S 350c5c,4 hit 
S 351040,4 miss eviction 
S 351044,4 hit 
S 351048,4 hit 
S 35104c,4 hit 
L 30f5b0,4 hit 
L 30f6b0,4 hit 
L 30f7b0,4 hit 
L 30f8b0,4 hit 
S 350d50,4 hit 
S 350d54,4 hit 
S 350d58,4 hit 
S 350d5c,4 hit 
L 30f5b4,4 hit 
L 30f6b4,4 hit 
L 30f7b4,4 hit 
L 30f8b4,4 hit 
